StartDate,EndDate,1minusp,GLRTval
2022-01-01,2022-03-03,0.0604152416937899,3.52594867048454
2022-01-06,2022-03-08,1,-2.9494227592748
2022-01-11,2022-03-13,1,-18.2072890440328
2022-01-16,2022-03-18,0.173650611415256,1.85114217198571
2022-01-21,2022-03-23,0.0567622085334966,3.62954864160662
2022-01-26,2022-03-28,0.05907017788814,3.56330051163874
2022-01-31,2022-04-02,0.0430164964511286,4.09475372232242
2022-02-05,2022-04-07,0.0610270228590886,3.50925145197806
2022-02-10,2022-04-12,0.0539338506749026,3.71474536354989
2022-02-15,2022-04-17,1,-0.38385863822009
2022-02-20,2022-04-22,0.213281691929436,1.54900972433967
2022-02-25,2022-04-27,0.0109530627090747,6.47291671591822
2022-03-02,2022-05-02,0.00208655867683316,9.4717882965297
2022-03-07,2022-05-07,0.00149461164387499,10.0852465348849
2022-03-12,2022-05-12,0.00632239213730679,7.45604051889873
2022-03-17,2022-05-17,0.00303483481958022,8.78640650031457
2022-03-22,2022-05-22,0.00421571328234882,8.18848420834627
2022-03-27,2022-05-27,0.0902548064872525,2.86982280257382
2022-04-01,2022-06-01,0.21349056232319,1.54759684657017
2022-04-06,2022-06-06,0.2444459230894,1.35477013656549
2022-04-11,2022-06-11,0.172266823038129,1.86310537390267
2022-04-16,2022-06-16,0.0914789876235884,2.84815281345848
2022-04-21,2022-06-21,5.53664544993282e-05,16.254891971724
2022-04-26,2022-06-26,0.0070639689666091,7.25663089747965
2022-05-01,2022-07-01,0.0102497622076648,6.59096456804969
2022-05-06,2022-07-06,0.0144340146518865,5.98427007576515
2022-05-11,2022-07-11,0.00612825596195676,7.51219749263009
2022-05-16,2022-07-16,0.00658967897932972,7.38153809311251
2022-05-21,2022-07-21,0.00232479464153146,9.27360670244906
2022-05-26,2022-07-26,1,-3.09708832305401
2022-05-31,2022-07-31,0.167994193738408,1.90075179195549
2022-06-05,2022-08-05,1,-0.766724906819263
2022-06-10,2022-08-10,0.246581086731544,1.34257093692236
2022-06-15,2022-08-15,0.277257028029486,1.18048624474235
2022-06-20,2022-08-20,0.073582150211687,3.20124689739725
2022-06-25,2022-08-25,0.0526445822261177,3.75516555224672
2022-06-30,2022-08-30,1,-0.301235764831233
2022-07-05,2022-09-04,1,-1.08206214138508
2022-07-10,2022-09-09,1,-3.92738180259448
2022-07-15,2022-09-14,1,-1.49660888995709
2022-07-20,2022-09-19,1,-0.100648399103477
2022-07-25,2022-09-24,0.00457013040418719,8.04214835766436
2022-07-30,2022-09-29,0.00019842827988481,13.8459087900853
2022-08-04,2022-10-04,0.170651888969693,1.87720736229517
2022-08-09,2022-10-09,0.49158669362919,0.473051460053313
2022-08-14,2022-10-14,0.241870981975878,1.3696560842094
2022-08-19,2022-10-19,0.413496813634906,0.668724054562375
2022-08-24,2022-10-24,0.0624213161264292,3.47185386928314
2022-08-29,2022-10-29,0.0767163971278892,3.13312832119942
2022-09-03,2022-11-03,0.0567668049613063,3.62941388052167
2022-09-08,2022-11-08,0.038786234278285,4.27020572991071
2022-09-13,2022-11-13,0.0804978562123866,3.05482116821244
2022-09-18,2022-11-18,0.0660690022176511,3.37807943818703
2022-09-23,2022-11-23,0.0737505498666963,3.19750837669929
2022-09-28,2022-11-28,0.0105930145924704,6.53234613630241
2022-10-03,2022-12-03,0.0141639419253586,6.01759420125617
2022-10-08,2022-12-08,0.00351748135648,8.51749603487218
2022-10-13,2022-12-13,0.0152506506903695,5.88727857834095
2022-10-18,2022-12-18,0.00963676738045527,6.7008367903571
2022-10-23,2022-12-23,0.00798311888008651,7.03725733894308
2022-10-28,2022-12-28,0.022793537395797,5.18417148926724
